2025-10-01 13:35:26,730 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,731 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,732 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,734 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,735 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,736 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,738 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,740 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,741 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,743 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,744 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,745 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,747 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,748 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,749 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,751 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,753 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,754 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,756 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,757 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,758 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,760 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,761 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,762 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,764 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,766 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,767 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,769 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,770 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,771 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,772 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,774 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,775 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,776 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,779 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,780 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,781 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,783 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,784 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,785 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,787 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,788 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,789 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,792 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,793 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,794 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,796 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,797 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,798 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,800 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,801 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,802 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,805 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,806 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,807 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,809 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,810 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,811 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,812 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,814 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,815 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,818 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,819 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,820 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,822 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,823 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,824 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,826 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,827 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,828 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,831 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,832 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,834 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,835 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,836 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,837 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,839 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,840 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,841 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,844 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,845 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,846 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,848 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,849 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,851 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,852 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,853 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,854 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,857 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,858 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,859 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,861 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,862 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,864 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,865 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,866 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,868 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,870 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,871 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,873 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,874 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,875 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,877 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,878 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,879 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,881 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,883 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,884 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,886 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,887 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,888 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,890 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,891 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,892 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,894 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,897 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,898 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,899 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,901 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,902 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,904 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:35:26,905 - Sensor 1: BLOCKED | Sensor 2: OPEN
